"new_simple_name","taxon_id","kingdom","class","new_redlistTW"
"Adiantum capillus-junonis","t0026544","Plantae","Polypodiopsida","NCR"
"Adiantum caudatum","t0026545","Plantae","Polypodiopsida","NLC"
"Adiantum diaphanum","t0026546","Plantae","Polypodiopsida","NLC"
"Adiantum edgeworthii","t0026547","Plantae","Polypodiopsida","NLC"
"Adiantum flabellulatum","t0026548","Plantae","Polypodiopsida","NLC"
"Adiantum formosanum","t0026549","Plantae","Polypodiopsida","NVU"
"Adiantum hispidulum","t0026550","Plantae","Polypodiopsida","NLC"
"Adiantum menglianense","t0026552","Plantae","Polypodiopsida","DD"
"Adiantum monochlamys","t0026553","Plantae","Polypodiopsida","NEN"
"Adiantum myriosorum","t0026554","Plantae","Polypodiopsida","NVU"
"Adiantum philippense","t0026555","Plantae","Polypodiopsida","NLC"
"Adiantum soboliferum","t0026557","Plantae","Polypodiopsida","NVU"
"Antrophyum castaneum","t0026562","Plantae","Polypodiopsida","NVU"
"Antrophyum formosanum","t0026563","Plantae","Polypodiopsida","NLC"
"Antrophyum henryi","t0026564","Plantae","Polypodiopsida","NVU"
"Antrophyum obovatum","t0026565","Plantae","Polypodiopsida","NLC"
"Antrophyum immersum","t0026566","Plantae","Polypodiopsida","NVU"
"Antrophyum sessilifolium","t0026567","Plantae","Polypodiopsida","NNT"
"Haplopteris heterophylla","t0026573","Plantae","Polypodiopsida","NCR"
"Vaginularia junghuhnii","t0026577","Plantae","Polypodiopsida","NNT"
"Vaginularia trichoidea","t0026578","Plantae","Polypodiopsida","NCR"
"Dennstaedtia hirsuta","t0026579","Plantae","Polypodiopsida","NLC"
"Dennstaedtia scandens","t0026581","Plantae","Polypodiopsida","NLC"
"Microlepia smithii","t0026582","Plantae","Polypodiopsida","NLC"
"Histiopteris incisa","t0026583","Plantae","Polypodiopsida","NLC"
"Hypolepis alpina","t0026584","Plantae","Polypodiopsida","NLC"
"Hypolepis pallida","t0026585","Plantae","Polypodiopsida","NEN"
"Hypolepis punctata","t0026587","Plantae","Polypodiopsida","NLC"
"Hypolepis tenuifolia","t0026588","Plantae","Polypodiopsida","NLC"
"Microlepia calvescens","t0026589","Plantae","Polypodiopsida","NLC"
"Microlepia hookeriana","t0026590","Plantae","Polypodiopsida","NLC"
"Microlepia krameri","t0026591","Plantae","Polypodiopsida","NLC"
"Microlepia marginata","t0026592","Plantae","Polypodiopsida","NLC"
"Microlepia nepalensis","t0026593","Plantae","Polypodiopsida","NLC"
"Microlepia obtusiloba","t0026594","Plantae","Polypodiopsida","NLC"
"Microlepia platyphylla","t0026595","Plantae","Polypodiopsida","NCR"
"Microlepia rhomboidea","t0026596","Plantae","Polypodiopsida","NVU"
"Microlepia sinostrigosa","t0026597","Plantae","Polypodiopsida","DD"
"Microlepia speluncae","t0026598","Plantae","Polypodiopsida","NLC"
"Microlepia strigosa","t0026599","Plantae","Polypodiopsida","NLC"
"Microlepia substrigosa","t0026600","Plantae","Polypodiopsida","NLC"
"Microlepia tenera","t0026601","Plantae","Polypodiopsida","NLC"
"Microlepia trichocarpa","t0026602","Plantae","Polypodiopsida","NNT"
"Microlepia trichosora","t0026603","Plantae","Polypodiopsida","NLC"
"Microlepia × bipinnata","t0026604","Plantae","Polypodiopsida","NLC"
"Microlepia × intramarginalis","t0026605","Plantae","Polypodiopsida","NLC"
"Monachosorum henryi","t0026606","Plantae","Polypodiopsida","NLC"
"Monachosorum maximowiczii","t0026607","Plantae","Polypodiopsida","NLC"
"Paesia luzonica","t0026608","Plantae","Polypodiopsida","NCR"
"Bolbitis angustipinna","t0026612","Plantae","Polypodiopsida","NLC"
"Bolbitis appendiculata","t0026613","Plantae","Polypodiopsida","NLC"
"Bolbitis heteroclita","t0026614","Plantae","Polypodiopsida","NLC"
"Bolbitis rhizophylla","t0026615","Plantae","Polypodiopsida","NNT"
"Bolbitis scalpturata","t0026616","Plantae","Polypodiopsida","NVU"
"Bolbitis subcordata","t0026617","Plantae","Polypodiopsida","NLC"
"Elaphoglossum angulatum","t0026620","Plantae","Polypodiopsida","NLC"
"Elaphoglossum callifolium","t0026621","Plantae","Polypodiopsida","NVU"
"Elaphoglossum commutatum","t0026622","Plantae","Polypodiopsida","NCR"
"Elaphoglossum luzonicum","t0026623","Plantae","Polypodiopsida","NVU"
"Elaphoglossum marginatum","t0026624","Plantae","Polypodiopsida","NLC"
"Elaphoglossum yoshinagae","t0026625","Plantae","Polypodiopsida","NLC"
"Lastreopsis tenera","t0026626","Plantae","Polypodiopsida","NNT"
"Pleocnemia winitii","t0026627","Plantae","Polypodiopsida","NLC"
"Arachniodes aristata","t0026628","Plantae","Polypodiopsida","NLC"
"Arachniodes festina","t0026630","Plantae","Polypodiopsida","NLC"
"Arachniodes globisora","t0026631","Plantae","Polypodiopsida","NNT"
"Arachniodes nigrospinosa","t0026632","Plantae","Polypodiopsida","NNT"
"Arachniodes pseudoaristata","t0026633","Plantae","Polypodiopsida","NLC"
"Arachniodes quadripinnata","t0026634","Plantae","Polypodiopsida","NLC"
"Ctenitis eatonii","t0026635","Plantae","Polypodiopsida","NLC"
"Ctenitis subglandulosa","t0026636","Plantae","Polypodiopsida","NLC"
"Cyrtomium anomophyllum","t0026637","Plantae","Polypodiopsida","NLC"
"Cyrtomium caryotideum","t0026638","Plantae","Polypodiopsida","NLC"
"Cyrtomium devexiscapulae","t0026639","Plantae","Polypodiopsida","NLC"
"Cyrtomium fortunei","t0026640","Plantae","Polypodiopsida","NVU"
"Cyrtomium macrophyllum","t0026641","Plantae","Polypodiopsida","NEN"
"Cyrtomium taiwanianum","t0026642","Plantae","Polypodiopsida","NVU"
"Cyrtomium simadae","t0026643","Plantae","Polypodiopsida","NEN"
"Dryopteris alpestris","t0026645","Plantae","Polypodiopsida","NLC"
"Dryopteris apiciflora","t0026646","Plantae","Polypodiopsida","NLC"
"Dryopteris atrata","t0026647","Plantae","Polypodiopsida","NLC"
"Dryopteris cacaina","t0026648","Plantae","Polypodiopsida","NLC"
"Dryopteris championii","t0026649","Plantae","Polypodiopsida","NVU"
"Dryopteris costalisora","t0026650","Plantae","Polypodiopsida","NLC"
"Dryopteris cycadina","t0026651","Plantae","Polypodiopsida","NLC"
"Dryopteris dickinsii","t0026652","Plantae","Polypodiopsida","NEN"
"Dryopteris diffracta","t0026653","Plantae","Polypodiopsida","NLC"
"Dryopteris enneaphylla","t0026655","Plantae","Polypodiopsida","NLC"
"Dryopteris erythrosora","t0026656","Plantae","Polypodiopsida","NEN"
"Dryopteris formosana","t0026658","Plantae","Polypodiopsida","NLC"
"Dryopteris fructuosa","t0026659","Plantae","Polypodiopsida","NLC"
"Dryopteris hasseltii","t0026661","Plantae","Polypodiopsida","NLC"
"Dryopteris hendersonii","t0026662","Plantae","Polypodiopsida","NLC"
"Dryopteris indusiata","t0026664","Plantae","Polypodiopsida","NNT"
"Dryopteris integriloba","t0026665","Plantae","Polypodiopsida","DD"
"Dryopteris kinkiensis","t0026667","Plantae","Polypodiopsida","NEN"
"Dryopteris komarovii","t0026668","Plantae","Polypodiopsida","DD"
"Dryopteris kwanzanensis","t0026669","Plantae","Polypodiopsida","DD"
"Dryopteris lacera","t0026670","Plantae","Polypodiopsida","NVU"
"Dryopteris lachoongensis","t0026671","Plantae","Polypodiopsida","NLC"
"Dryopteris lepidopoda","t0026672","Plantae","Polypodiopsida","NLC"
"Dryopteris marginata","t0026673","Plantae","Polypodiopsida","NLC"
"Dryopteris maximowicziana","t0026674","Plantae","Polypodiopsida","NVU"
