"new_simple_name","taxon_id","kingdom","class","new_iucn","new_protected","new_redlistTW"
"Dioscorea persimilis","t0053413","Plantae","Magnoliopsida","NT",NA,"NLC"
"Diospyros ferrea","t0053417","Plantae","Magnoliopsida","VU",NA,"NVU"
"Diospyros japonica","t0053419","Plantae","Magnoliopsida","LC",NA,"NLC"
"Diospyros kaki","t0053420","Plantae","Magnoliopsida","LC",NA,NA
"Diospyros kotoensis","t0053421","Plantae","Magnoliopsida","EN",NA,"NEN"
"Diospyros maritima","t0053422","Plantae","Magnoliopsida","LC",NA,"NLC"
"Diospyros morrisiana","t0053423","Plantae","Magnoliopsida","LC",NA,"NLC"
"Diospyros oldhamii","t0053424","Plantae","Magnoliopsida","LC",NA,"NLC"
"Diospyros vaccinioides","t0053426","Plantae","Magnoliopsida","CR",NA,"DD"
"Distyliopsis dunnii","t0053437","Plantae","Magnoliopsida","LC",NA,"NEN"
"Distylium racemosum","t0053439","Plantae","Magnoliopsida","LC",NA,"NLC"
"Dopatrium junceum","t0053440","Plantae","Magnoliopsida","LC",NA,"NNT"
"Dracaena fragrans","t0053442","Plantae","Magnoliopsida","LC",NA,NA
"Dracaena reflexa","t0053445","Plantae","Magnoliopsida","LC",NA,NA
"Drosera indica","t0053448","Plantae","Magnoliopsida","LC",NA,"NEN"
"Drosera peltata","t0053449","Plantae","Magnoliopsida","LC",NA,"DD"
"Duranta erecta","t0053459","Plantae","Magnoliopsida","LC",NA,NA
"Echinochloa crus-galli","t0053468","Plantae","Magnoliopsida","LC",NA,"NLC"
"Echinochloa frumentacea","t0053469","Plantae","Magnoliopsida","LC",NA,NA
"Eclipta prostrata","t0053472","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ehretia acuminata","t0053475","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ehretia longiflora","t0053477","Plantae","Magnoliopsida","LC",NA,"NLC"
"Elaeagnus conferta","t0053481","Plantae","Magnoliopsida","LC",NA,NA
"Elaeagnus umbellata","t0053491","Plantae","Magnoliopsida","LC",NA,"NLC"
"Elaeocarpus japonicus","t0053495","Plantae","Magnoliopsida","LC",NA,"NLC"
"Eleocharis acicularis","t0053509","Plantae","Magnoliopsida","LC",NA,"NLC"
"Eleocharis geniculata","t0053512","Plantae","Magnoliopsida","LC",NA,"NLC"
"Eleocharis retroflexa","t0053514","Plantae","Magnoliopsida","LC",NA,"NVU"
"Eleusine indica","t0053519","Plantae","Magnoliopsida","LC",NA,"NLC"
"Ensete glaucum","t0053532","Plantae","Magnoliopsida","LC",NA,"NLC"
"Epiphyllum oxypetalum","t0053544","Plantae","Magnoliopsida","LC",NA,NA
"Eragrostis atrovirens","t0053553","Plantae","Magnoliopsida","LC",NA,"NLC"
"Eragrostis japonica","t0053563","Plantae","Magnoliopsida","LC",NA,"NNT"
"Eriocaulon nepalense","t0053589","Plantae","Magnoliopsida","LC",NA,"NCR"
"Erythrorchis altissima","t0053604","Plantae","Magnoliopsida","LC",NA,"NLC"
"Euchlaena mexicana","t0053607","Plantae","Magnoliopsida","LC",NA,NA
"Syzygium aqueum","t0053609","Plantae","Magnoliopsida","LC",NA,NA
"Oeceoclades pulchra","t0053620","Plantae","Magnoliopsida","LC",NA,"NNT"
"Euphorbia heterophylla","t0053642","Plantae","Magnoliopsida","LC",NA,NA
"Euphorbia milii","t0053643","Plantae","Magnoliopsida","LC",NA,NA
