"new_simple_name","kingdom","class","new_redlistTW"
"Microsorum punctatum","Plantae","Polypodiopsida","NLC"
"Microsorum scolopendria","Plantae","Polypodiopsida","NLC"
"Microsorum steerei","Plantae","Polypodiopsida","NEN"
"Neolepisorus ensatus","Plantae","Polypodiopsida","NLC"
"Calymmodon gracilis","Plantae","Polypodiopsida","NLC"
"Calymmodon oligotrichus","Plantae","Polypodiopsida","NNT"
"Calymmodon ordinatus","Plantae","Polypodiopsida","NVU"
"Chrysogrammitis glandulosa","Plantae","Polypodiopsida","NEN"
"Dasygrammitis mollicoma","Plantae","Polypodiopsida","NEN"
"Micropolypodium okuboi","Plantae","Polypodiopsida","NLC"
"Oreogrammitis adspersa","Plantae","Polypodiopsida","NVU"
"Oreogrammitis caespitosa","Plantae","Polypodiopsida","NEN"
"Oreogrammitis ilanensis","Plantae","Polypodiopsida","NCR"
"Oreogrammitis marivelesensis","Plantae","Polypodiopsida","NCR"
"Oreogrammitis moorei","Plantae","Polypodiopsida","NCR"
"Oreogrammitis orientalis","Plantae","Polypodiopsida","NCR"
"Oreogrammitis setigera","Plantae","Polypodiopsida","NVU"
"Oreogrammitis subevenosa","Plantae","Polypodiopsida","NEN"
"Oreogrammitis subnervosa","Plantae","Polypodiopsida","NVU"
"Oreogrammitis taiwanensis","Plantae","Polypodiopsida","NVU"
"Prosaptia contigua","Plantae","Polypodiopsida","NLC"
"Prosaptia formosana","Plantae","Polypodiopsida","NLC"
"Prosaptia nutans","Plantae","Polypodiopsida","NEN"
"Prosaptia obliquata","Plantae","Polypodiopsida","NLC"
