"taxonUUID","taxonRank","parentUUID","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","is_hybrid","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","corrected_iucn","corrected_redlistTW","corrected_protected","comparison_name","comparison_IUCN","comparison_redlistTW","comparison_protected"
"ab3e482e-1403-4f5d-a82f-380a1db1e036","infraspecies","e91679b5-f588-4a25-85a6-cb74a27c28ec","t0085979","Nomosphecia zebroides indicus","Animalia","Insecta","native","","","","","",NA,"infraspecies","Nomosphecia zebroides indicus","FALSE","FALSE","native","","","","Nomosphecia","zebroides","indicus","","","",TRUE,TRUE,TRUE,TRUE
"21aa108d-7705-4d70-b81d-c84128da1fb3","infraspecies","92ac3f6d-13f4-4840-ae84-cff80faea02e","t0086296","Stirexephanes signatus formosanus","Animalia","Insecta","native","","","","","",NA,"infraspecies","Stirexephanes signatus formosanus","FALSE","FALSE","native","","","","Stirexephanes","signatus","formosanus","","","",TRUE,TRUE,TRUE,TRUE
"70a3742d-d7e5-47f0-8ab2-12c4db245862","infraspecies","1e63f327-cdc3-4fba-ac25-4bfdd41ccb33","t0086354","Theronia clathrata clathrata","Animalia","Insecta","native","","","","","",NA,"infraspecies","Theronia clathrata clathrata","FALSE","FALSE","native","","","","Theronia","clathrata","clathrata","","","",TRUE,TRUE,TRUE,TRUE
"1a004850-4058-4da8-a7d0-9df557357ce1","infraspecies","4c290886-625a-4deb-8e1e-91c7fe4f237f","t0086355","Theronia zebra diluta","Animalia","Insecta","native","","","","","",NA,"infraspecies","Theronia zebra diluta","FALSE","FALSE","native","","","","Theronia","zebra","diluta","","","",TRUE,TRUE,TRUE,TRUE
"e47dd0a1-eff8-4607-905d-087abe739881","infraspecies","e660f9e5-c71a-40e4-9048-61d472088aa1","t0086423","Xanthopimpla appendicularis sonani","Animalia","Insecta","native","","","","","",NA,"infraspecies","Xanthopimpla appendicularis sonani","FALSE","FALSE","native","","","","Xanthopimpla","appendicularis","sonani","","","",TRUE,TRUE,TRUE,TRUE
"39b95c4c-cbd7-456c-a646-06c3f00ab875","infraspecies","2166542d-4728-417c-97a7-ef2742d6def3","t0086424","Xanthopimpla brachycentra brachycentra","Animalia","Insecta","native","","","","","",NA,"infraspecies","Xanthopimpla brachycentra brachycentra","FALSE","FALSE","native","","","","Xanthopimpla","brachycentra","brachycentra","","","",TRUE,TRUE,TRUE,TRUE
"e3d85113-6338-431b-86d0-8c64d4447759","infraspecies","693a96fb-1bc5-479f-9ee4-165329be01be","t0086425","Xanthopimpla brevicauda brevicauda","Animalia","Insecta","native","","","","","",NA,"infraspecies","Xanthopimpla brevicauda brevicauda","FALSE","FALSE","native","","","","Xanthopimpla","brevicauda","brevicauda","","","",TRUE,TRUE,TRUE,TRUE
"69ebc9d1-5cd6-470a-ac2b-a2a7931f606c","infraspecies","684b5467-18d5-42e0-9300-512e4e079a19","t0086426","Xanthopimpla decurtata detruncata","Animalia","Insecta","native","","","","","",NA,"infraspecies","Xanthopimpla decurtata detruncata","FALSE","FALSE","native","","","","Xanthopimpla","decurtata","detruncata","","","",TRUE,TRUE,TRUE,TRUE
"4755c2af-f2ed-4fdf-9c7b-134f9d95c663","infraspecies","41f31ec6-5a8b-4c29-b9aa-5dda241bbc2e","t0086427","Xanthopimpla elegans insulana","Animalia","Insecta","native","","","","","",NA,"infraspecies","Xanthopimpla elegans insulana","FALSE","FALSE","native","","","","Xanthopimpla","elegans","insulana","","","",TRUE,TRUE,TRUE,TRUE
"85bede69-7ced-469c-be0c-af2f54eb67aa","infraspecies","64c80acb-b891-4509-8e75-9ac4e86325bb","t0086428","Xanthopimpla honorata honorata","Animalia","Insecta","native","","","","","",NA,"infraspecies","Xanthopimpla honorata honorata","FALSE","FALSE","native","","","","Xanthopimpla","honorata","honorata","","","",TRUE,TRUE,TRUE,TRUE
"b1ab7731-7761-48b8-a9f2-2ea967f4706a","infraspecies","48b4b0fc-f0bd-4468-b69b-2fb085e30f48","t0086429","Xanthopimpla minuta minuta","Animalia","Insecta","native","","","","","",NA,"infraspecies","Xanthopimpla minuta minuta","FALSE","FALSE","native","","","","Xanthopimpla","minuta","minuta","","","",TRUE,TRUE,TRUE,TRUE
"7348dfaf-90ec-4985-bf41-34aa0526568e","infraspecies","9aadc4af-4f13-4971-aee8-1e01b6647ae7","t0086430","Xanthopimpla modesta modesta","Animalia","Insecta","native","","","","","",NA,"infraspecies","Xanthopimpla modesta modesta","FALSE","FALSE","native","","","","Xanthopimpla","modesta","modesta","","","",TRUE,TRUE,TRUE,TRUE
"459719cd-09e9-43e7-a870-21d6ee65f7bc","infraspecies","b51ca691-c439-47a2-ac3d-f5a9d232f4e7","t0086431","Xanthopimpla nana aequabilis","Animalia","Insecta","native","","","","","",NA,"infraspecies","Xanthopimpla nana aequabilis","FALSE","FALSE","native","","","","Xanthopimpla","nana","aequabilis","","","",TRUE,TRUE,TRUE,TRUE
"41cbd3bf-1985-4d56-bf3c-7a5a8d9df6e6","infraspecies","557c744f-1fe2-43a2-89d7-7c453b5f946f","t0086432","Xanthopimpla ochracea yami","Animalia","Insecta","native","","","","","",NA,"infraspecies","Xanthopimpla ochracea yami","FALSE","FALSE","native","","","","Xanthopimpla","ochracea","yami","","","",TRUE,TRUE,TRUE,TRUE
"8eaffbc6-afc3-48dd-92b9-421f673775c7","infraspecies","e60b711b-4336-47c1-94b6-1fdf5a8aff78","t0086433","Xanthopimpla pleuralis pleuralis","Animalia","Insecta","native","","","","","",NA,"infraspecies","Xanthopimpla pleuralis pleuralis","FALSE","FALSE","native","","","","Xanthopimpla","pleuralis","pleuralis","","","",TRUE,TRUE,TRUE,TRUE
"f9225caf-bd92-454e-a4bd-2a9e58878be4","infraspecies","caaa50e3-65bb-424d-9425-d7416aaf448d","t0086434","Xanthopimpla trunca pallipes","Animalia","Insecta","native","","","","","",NA,"infraspecies","Xanthopimpla trunca pallipes","FALSE","FALSE","native","","","","Xanthopimpla","trunca","pallipes","","","",TRUE,TRUE,TRUE,TRUE
"1e4b95e5-e61a-4494-a94e-cc6cbd6ad989","infraspecies","18d36964-a1ca-4e50-9c87-425a8fc92000","t0085175","Acroricnus ambulator ambulator","Animalia","Insecta","native","","","","","",NA,"infraspecies","Acroricnus ambulator ambulator","FALSE","FALSE","native","","","","Acroricnus","ambulator","ambulator","","","",TRUE,TRUE,TRUE,TRUE
"c5fb09a0-e773-4423-9588-16f92fff1677","infraspecies","18d36964-a1ca-4e50-9c87-425a8fc92000","t0085176","Acroricnus ambulator rufiabdominalis","Animalia","Insecta","native","","","","","",NA,"infraspecies","Acroricnus ambulator rufiabdominalis","FALSE","FALSE","native","","","","Acroricnus","ambulator","rufiabdominalis","","","",TRUE,TRUE,TRUE,TRUE
"08d50058-aba9-49b0-9172-55c284f7ba62","infraspecies","1e5f66d4-2c0a-491b-9f5b-77b5490f9acb","t0085193","Afrephialtes laetiventris laetiventris","Animalia","Insecta","native","","","","","",NA,"infraspecies","Afrephialtes laetiventris laetiventris","FALSE","FALSE","native","","","","Afrephialtes","laetiventris","laetiventris","","","",TRUE,TRUE,TRUE,TRUE
"b93807a9-9bef-4ff5-b3f2-f66cbcb0285b","infraspecies","1f99248f-b3cd-4a34-9729-60e909b3ae44","t0085194","Afrephialtes latisulcatus latisulcatus","Animalia","Insecta","native","","","","","",NA,"infraspecies","Afrephialtes latisulcatus latisulcatus","FALSE","FALSE","native","","","","Afrephialtes","latisulcatus","latisulcatus","","","",TRUE,TRUE,TRUE,TRUE
"46ef236a-94f0-495b-afc2-5628fe4a2669","infraspecies","ea9092ce-6100-4d61-935a-56fad5cd33ad","t0085195","Afrephialtes taiwanus taiwanus","Animalia","Insecta","native","","","","","",NA,"infraspecies","Afrephialtes taiwanus taiwanus","FALSE","FALSE","native","","","","Afrephialtes","taiwanus","taiwanus","","","",TRUE,TRUE,TRUE,TRUE
"b337dd2b-bafd-40a3-8210-9d6cfbe825bd","infraspecies","63ea8023-d132-4bdb-9734-4d014eb0b0c9","t0085209","Allonotus politus sauteri","Animalia","Insecta","native","","","","","",NA,"infraspecies","Allonotus politus sauteri","FALSE","FALSE","native","","","","Allonotus","politus","sauteri","","","",TRUE,TRUE,TRUE,TRUE
"cfc40369-e10d-4fe9-98d0-d1ff4f6fd12b","infraspecies","66857e8e-09bc-4d06-97f5-fbb89ac8d857","t0085212","Amauromorpha accepta schoenobii","Animalia","Insecta","native","","","","","",NA,"infraspecies","Amauromorpha accepta schoenobii","FALSE","FALSE","native","","","","Amauromorpha","accepta","schoenobii","","","",TRUE,TRUE,TRUE,TRUE
"c21f61ab-3107-46d4-aa28-cbf7f6a75c39","infraspecies","092eb400-d730-45eb-b3c2-81487ad9946c","t0085214","Amblyjoppa annulitarsis horishana","Animalia","Insecta","native","","","","","",NA,"infraspecies","Amblyjoppa annulitarsis horishana","FALSE","FALSE","native","","","","Amblyjoppa","annulitarsis","horishana","","","",TRUE,TRUE,TRUE,TRUE
"a4f92967-4eaa-4eff-8ee1-061bb8a3095c","infraspecies","019e965f-1918-483e-a543-364bddad4d3c","t0085215","Amblyjoppa forticornis taichuensis","Animalia","Insecta","native","","","","","",NA,"infraspecies","Amblyjoppa forticornis taichuensis","FALSE","FALSE","native","","","","Amblyjoppa","forticornis","taichuensis","","","",TRUE,TRUE,TRUE,TRUE
"d585bcdd-94aa-49c9-87b6-2657ad71bce9","infraspecies","2c84634a-3bce-4d10-bc80-74db025b793e","t0085216","Amblyjoppa yayeyamensis kankauensis","Animalia","Insecta","native","","","","","",NA,"infraspecies","Amblyjoppa yayeyamensis kankauensis","FALSE","FALSE","native","","","","Amblyjoppa","yayeyamensis","kankauensis","","","",TRUE,TRUE,TRUE,TRUE
"3decf2cf-9053-4f08-8782-1b556c86cba1","infraspecies","2c84634a-3bce-4d10-bc80-74db025b793e","t0085217","Amblyjoppa yayeyamensis yayeyamensis","Animalia","Insecta","native","","","","","",NA,"infraspecies","Amblyjoppa yayeyamensis yayeyamensis","FALSE","FALSE","native","","","","Amblyjoppa","yayeyamensis","yayeyamensis","","","",TRUE,TRUE,TRUE,TRUE
"23f9e31e-0e7e-4c4a-bd80-ca078b25067d","infraspecies","0929b5da-431f-4623-9a7f-6d6f769d9e04","t0085243","Anisobas kankoensis kankoensis","Animalia","Insecta","native","","","","","",NA,"infraspecies","Anisobas kankoensis kankoensis","FALSE","FALSE","native","","","","Anisobas","kankoensis","kankoensis","","","",TRUE,TRUE,TRUE,TRUE
"87a35389-4c7b-4181-b0df-6000c6fbccf4","infraspecies","34c13443-92b3-4a5c-af4f-935d07ce8051","t0085352","Buysmania oxymora robusta","Animalia","Insecta","native","","","","","",NA,"infraspecies","Buysmania oxymora robusta","FALSE","FALSE","native","","","","Buysmania","oxymora","robusta","","","",TRUE,TRUE,TRUE,TRUE
"36e5cc40-4eac-434d-9db1-73b129c2d972","infraspecies","eda58290-63da-4d40-ab64-d89abbe3a4d3","t0085382","Camptotypus arianus formosanus","Animalia","Insecta","native","","","","","",NA,"infraspecies","Camptotypus arianus formosanus","FALSE","FALSE","native","","","","Camptotypus","arianus","formosanus","","","",TRUE,TRUE,TRUE,TRUE
"83611aa8-7570-446e-ae4a-e90470224e8e","infraspecies","10fbefd1-3871-4527-a5d1-ec4a24c916a2","t0085473","Coesula fulvipes areolata","Animalia","Insecta","native","","","","","",NA,"infraspecies","Coesula fulvipes areolata","FALSE","FALSE","native","","","","Coesula","fulvipes","areolata","","","",TRUE,TRUE,TRUE,TRUE
"ffc4a374-d638-43b6-807f-c5dbe6ab5442","infraspecies","51a4e591-b231-4420-b0f8-177528461924","t0085501","Crathiorada fasciata formosana","Animalia","Insecta","native","","","","","",NA,"infraspecies","Crathiorada fasciata formosana","FALSE","FALSE","native","","","","Crathiorada","fasciata","formosana","","","",TRUE,TRUE,TRUE,TRUE
