"taxonUUID","taxonRank","parentUUID","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","is_hybrid","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","corrected_iucn","corrected_redlistTW","corrected_protected","comparison_name","comparison_IUCN","comparison_redlistTW","comparison_protected"
"f96edf2a-5479-4bbf-9cba-a592c3e0b324","species","7ca06c8f-84fd-435e-b8ce-d1469db9f4ef","t0029136","Eutittha mordax","Animalia","Arachnida","native","","","","","",NA,"species","Cheiracanthium mordax","FALSE","FALSE","native","","","","Cheiracanthium","mordax",NA,"","","",FALSE,TRUE,TRUE,TRUE
"66eca753-5f9a-48c7-b908-199722e9998d","species","fdcfc7d0-f2fa-41eb-8e7e-128975e6df99","t0078788","Clubiona kayashimai","Animalia","Arachnida","native","","","","","",NA,"species","Femorbiona Kayashimai","FALSE","FALSE","native","","","","Femorbiona","Kayashimai",NA,"","","",FALSE,TRUE,TRUE,TRUE
"7a142df8-609a-4d38-969a-e32a47c2477f","species","89e352d9-056d-431a-8738-3db29b745b03","t0047065","Tetragnatha gracilis","Animalia","Arachnida","native","","","","","",NA,"species","Tetragnatha earmra","FALSE","FALSE","native","","","","Tetragnatha","earmra",NA,"","","",FALSE,TRUE,TRUE,TRUE
"ae97309f-02c9-4506-924b-22d1ed31bc65","species","1cc3b16c-5a5c-4213-a214-4c5073be663b","t0029178","Falcileptoneata taiwanensis","Animalia","Arachnida","native","true","","","","",NA,"species","Falcileptoneta taiwanensis","TRUE","FALSE","native","","","","Falcileptoneta","taiwanensis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"8491828c-9e4a-476d-8c38-98ae707baa96","species","613297b4-844b-4e51-a0c6-e7f713aa874c","t0068321","Macrothele taiwanensis","Animalia","Arachnida","native","true","","","","",NA,"species","Vacrothele taiwanensis","TRUE","FALSE","native","","","","Vacrothele","taiwanensis",NA,"","","",FALSE,TRUE,TRUE,TRUE
"532bcc07-5f4c-4472-92c3-5fc4353e9563","species","60f432da-39a6-4ebc-99b7-de7516ec07eb","t0080849","Mysmena taiwanica","Animalia","Arachnida","native","true","","","","",NA,"species","Chimena taiwanica","TRUE","FALSE","native","","","","Chimena","taiwanica",NA,"","","",FALSE,TRUE,TRUE,TRUE
"648d31fb-5512-4511-be43-31db6a043701","species","d458fa5e-d256-4584-8ea6-6e72eb116554","t0029396","Grandilithus taiwanica","Animalia","Arachnida","native","","","","","",NA,"species","Grandilithus taiwanicus","FALSE","FALSE","native","","","","Grandilithus","taiwanicus",NA,"","","",FALSE,TRUE,TRUE,TRUE
"7b43fd52-40fd-4ac6-8c82-56e407f7d392","species","6fca193a-19aa-4888-9cbd-5f87a634de17","t0083904","Peucetia formosensis","Animalia","Arachnida","native","true","","","","",NA,"species","Peucetia latikae","FALSE","FALSE","native","","","","Peucetia","latikae",NA,"","","",FALSE,TRUE,TRUE,TRUE
"e7cd70fd-0fd4-4f66-adef-5132723d7d90","species","9d26f14f-02da-4596-8b48-5ff0b51efaad","t0072057","Aponomma varanese","Animalia","Arachnida","native","","","","","",NA,"species","Amblyomma varanense","FALSE","FALSE","native","","","","Amblyomma","varanense",NA,"","","",FALSE,TRUE,TRUE,TRUE
"5e39228e-b431-4a97-9c14-6520d1d63312","species","d3375284-ca33-421e-931b-8dc198b33819","t0037774","Rhipicephalus haemophysaloides","Animalia","Arachnida","native","","","","","",NA,"species","Rhipicephalus haemaphysaloides","FALSE","FALSE","native","","","","Rhipicephalus","haemaphysaloides",NA,"","","",FALSE,TRUE,TRUE,TRUE
"b29987be-60b1-45e5-924d-4114c2e4589d","species","3cfad227-c223-4ae4-8a85-cb05a7a98070","t0072715","Australimoosella êmaoi","Animalia","Ostracoda","native","","","","","",NA,"species","Australimoosella emaoi","FALSE","FALSE","native","","","","Australimoosella","emaoi",NA,"","","",FALSE,TRUE,TRUE,TRUE
"e223daa5-5719-422e-8fc5-a11bdd54211e","species","8ec65a0b-233a-4970-bc4c-96e46427c141","t0082564","Otocytherella êhêha","Animalia","Ostracoda","native","","","","","",NA,"species","Otocytherella eheha","FALSE","FALSE","native","","","","Otocytherella","eheha",NA,"","","",FALSE,TRUE,TRUE,TRUE
"550f9451-f34e-4e58-9396-cf7b0f0f28cc","species","78d80cef-018b-4be5-935e-2be05c4c68ae","t0083358","Parasesarma affine","Animalia","Malacostraca","native","","","","","",NA,"species","Parasesarma continentale","FALSE","FALSE","native","","","","Parasesarma","continentale",NA,"","","",FALSE,TRUE,TRUE,TRUE
"3361925a-e3ac-405f-a5f7-4d40ded7244e","species","737a1283-1a91-4f23-a4bb-acceb81fefc5","t0079949","Cyclodius granulosus","Animalia","Malacostraca","native","","","","","",NA,"species","Phymodius granulosus","FALSE","FALSE","native","","","","Phymodius","granulosus",NA,"","","",FALSE,TRUE,TRUE,TRUE
"28de627e-7d5d-4e4c-801c-1ac0c7d891a2","species","c8bfd724-9c8e-452f-b775-9d84483b97f3","t0036651","Prionocrangon brevirostris","Animalia","Malacostraca","native","true","","","","",NA,"species","Prionocrangon formosa","TRUE","FALSE","native","","","","Prionocrangon","formosa",NA,"","","",FALSE,TRUE,TRUE,TRUE
"6ac0699b-95ea-4a7d-a5e1-f5561fc1512e","species","7ef4bd75-696a-4c8b-89be-9532439f05e6","t0070593","Agononida soelae","Animalia","Malacostraca","native","","","","","",NA,"species","Munida soelae","FALSE","FALSE","native","","","","Munida","soelae",NA,"","","",FALSE,TRUE,TRUE,TRUE
"8465958f-4002-4bfa-9288-26f7f5b8526c","species","dc239d4c-64f8-4860-bd7f-0faf15502d84","t0046463","Synalpheus stimpsoni","Animalia","Malacostraca","native","","","","","",NA,"species","Synalpheus stimpsonii","FALSE","FALSE","native","","","","Synalpheus","stimpsonii",NA,"","","",FALSE,TRUE,TRUE,TRUE
