"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","iucn_sensitive","protected_sensitive","redlistTW_sensitive","sensitive_check"
"8d8634ef-b32f-4bb0-8bc4-83cbae1fd1e1","infraspecies","t0085974","Nisaetus nipalensis nipalensis","Animalia","Aves","native","","","","","輕度","","infraspecies","Nisaetus nipalensis nipalensis","","native","","","I","Nisaetus","nipalensis","nipalensis",NA,NA,NA,NA
"d0abbcfa-96bf-4fbd-b886-d153129c608d","infraspecies","t0030026","Calidris alpina sakhalina","Animalia","Aves","native","","","NVU","NT","輕度","2016-12-01","infraspecies","Calidris alpina sakhalina","","native","","","","Calidris","alpina","sakhalina",NA,NA,NA,NA
"ebf8dbe0-2d87-48f4-be19-c55fd5dd9117","infraspecies","t0101089","Calidris alpina kistchinski","Animalia","Aves","native","","","NVU","NT","輕度","2024-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31489785-e1f8-416c-b065-c4fe655db2e6","infraspecies","t0085359","Calidris alpina actites","Animalia","Aves","native","","","NVU","NT","輕度","2016-12-01","infraspecies","Calidris alpina actites","","native","","","","Calidris","alpina","actites",NA,NA,NA,NA
"1ea9b5d3-e569-4790-8637-a7a0c99521a5","infraspecies","t0085360","Calidris alpina arcticola","Animalia","Aves","native","","","NVU","NT","輕度","2016-12-01","infraspecies","Calidris alpina arcticola","","native","","","","Calidris","alpina","arcticola",NA,NA,NA,NA
"d1a7c39c-4e12-4bd8-b5a6-2fd344dfb35c","infraspecies","t0085363","Calidris falcinellus sibirica","Animalia","Aves","native","","","NLC","VU","輕度","2016-12-01","infraspecies","Calidris falcinellus sibirica","","native","","","","Calidris","falcinellus","sibirica",NA,NA,NA,NA
"82dcdb31-782c-4dc4-a926-9c53011a355e","infraspecies","t0085844","Limosa lapponica baueri","Animalia","Aves","native","","","NVU","","輕度","2016-12-01","infraspecies","Limosa lapponica baueri","","native","","","","Limosa","lapponica","baueri",NA,NA,NA,NA
"e19ce850-d71b-4fd8-95cf-15ee3fc6f6b1","infraspecies","t0085845","Limosa lapponica menzbieri","Animalia","Aves","native","","","NVU","","輕度","2016-12-01","infraspecies","Limosa lapponica menzbieri","","native","","","","Limosa","lapponica","menzbieri",NA,NA,NA,NA
"a287c39c-b311-4920-a675-1a3df2d2d050","infraspecies","t0085236","Anas crecca crecca","Animalia","Aves","native","","","NVU","LC","輕度","2016-12-01","infraspecies","Anas crecca crecca","","native","","","","Anas","crecca","crecca",NA,NA,NA,NA
"82702845-3201-4528-b349-59bc03107a0d","species","t0100370","Lecanorchis taiwaniana","Plantae","Spermatopsida","native","","","NVU","","輕度","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bc6b5eb9-c90d-4739-9379-f73e4b95cd21","species","t0033511","Cyperus radians","Plantae","Spermatopsida","native","","","NLC","","輕度","2017-12-01","species","Cyperus radians","","native","","NLC","","Cyperus","radians",NA,NA,NA,NA,NA
"4713df2d-a731-4baa-bfd2-7560ec1b2118","species","t0058219","Schoenoplectiella lineolata","Plantae","Spermatopsida","native","","","NNT","","輕度","2017-12-01","species","Schoenoplectiella lineolata","","native","","NNT","","Schoenoplectiella","lineolata",NA,NA,NA,NA,NA
"a5cd97cb-3bf0-4b6a-9ee4-ed52c071a07a","species","t0103271","Lotus pacifica","Plantae","Spermatopsida","native","","","NVU","","輕度","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9beaae4d-e390-4393-b80b-50559cb8e0c3","species","t0103408","Citrus depressa","Plantae","Spermatopsida","native","","","NVU","","輕度","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96f725b8-6157-4471-909e-0337417892a7","species","t0100878","Persicaria viscosa","Plantae","Spermatopsida","native","","","NVU","","輕度","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4843652c-3c7c-4c66-99b0-cf6859d9426d","species","t0100474","Acmella paniculata","Plantae","Spermatopsida","native","","","NVU","","輕度","2017-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a8352266-244d-4050-af4c-0615cb4a886b","species","t0058756","Chaerophyllum taiwanianum","Plantae","Spermatopsida","native","true","","NVU","","輕度","2017-12-01","species","Chaerophyllum involucratum","true","native","","NLC","","Chaerophyllum","involucratum",NA,NA,NA,NA,NA
"1297085a-feeb-43fb-be3e-18ad581b343d","infraspecies","t0105515","Mitrastemon yamamotoi yamamotoi","Plantae","Spermatopsida","native","true","","NVU","","輕度","2017-12-01","species","Mitrastemon kawasasakii","true","native","","","","Mitrastemon","kawasasakii",NA,NA,NA,NA,NA
"49e408b8-ce53-403b-99b4-8ef9bd3d42ea","species","t0048233","Turbinaria mesenterina","Chromista","Phaeophyceae","native","","","","LC","輕度","","species","Turbinaria mesenterina","","native","LC","","","Turbinaria","mesenterina",NA,NA,NA,NA,NA
"4a5f428f-1210-477d-9ae7-a693b1309150","species","t0048236","Turbinaria reniformis","Chromista","Phaeophyceae","native","","","","LC","輕度","","species","Turbinaria reniformis","","native","LC","","","Turbinaria","reniformis",NA,NA,NA,NA,NA
"8a3c8b1e-1935-4849-b417-529f9652e77a","species","t0048237","Turbinaria stellulata","Chromista","Phaeophyceae","native","","","","LC","輕度","","species","Turbinaria stellulata","","native","LC","","","Turbinaria","stellulata",NA,NA,NA,NA,NA
"f1a9fbcd-2ea6-442e-b45d-04cdc6fea8f8","species","t0044484","Trichoglossum walteri","Fungi","Geoglossomycetes","native","","","","","輕度","","species","Trichoglossum walteri","","native","","","","Trichoglossum","walteri",NA,NA,NA,NA,NA
"7dd86973-a29f-4c16-849d-c49c6d27dd09","infraspecies","t0087494","Tricholoma matsutake formosana","Fungi","Basidiomycetes","native","","","","VU","輕度","","infraspecies","Tricholoma matsutake formosana","","native","","","","Tricholoma","matsutake","formosana",NA,NA,NA,NA
"2e65d1d4-a0fd-441f-b2ef-485fa2612cf6","species","t0072115","Aratinga solstitialis","Animalia","Aves","non-native","","","","EN","輕度","","species","Aratinga solstitialis","","non-native","EN","","","Aratinga","solstitialis",NA,"sensitive",NA,NA,NA
"f3bb3294-f26a-4d6c-ab70-23f5b0667481","species","t0084334","Physignathus cocincinus","Animalia","Reptilia","non-native","","","NA","VU","輕度","2024-12-01","species","Physignathus cocincinus","","non-native","VU",NA,"","Physignathus","cocincinus",NA,"sensitive",NA,NA,NA
"0ef3cf08-3c2a-4fed-87ef-4df90f23ef57","species","t0098670","Pterodroma solandri","Animalia","Aves","native","","","NVU","LC","輕度","2024-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
