"new_simple_name","taxon_id","kingdom","class","new_iucn"
"Yoania japonica","t0049360","Plantae","Magnoliopsida","LC"
"Yucca aloifolia","t0049362","Plantae","Magnoliopsida","DD"
"Yucca gigantea","t0049363","Plantae","Magnoliopsida","DD"
"Yucca filamentosa","t0049364","Plantae","Magnoliopsida","LC"
"Yucca gloriosa","t0049365","Plantae","Magnoliopsida","LC"
"Zamia furfuracea","t0049367","Plantae","Cycadopsida","EN"
"Zannichellia palustris","t0049368","Plantae","Magnoliopsida","LC"
"Zantedeschia aethiopica","t0049369","Plantae","Magnoliopsida","LC"
"Zanthoxylum acanthopodium","t0049371","Plantae","Magnoliopsida","LC"
"Zanthoxylum armatum","t0049372","Plantae","Magnoliopsida","LC"
"Zanthoxylum simulans","t0049376","Plantae","Magnoliopsida","LC"
"Zea mays","t0049378","Plantae","Magnoliopsida","LC"
"Zelkova serrata","t0049380","Plantae","Magnoliopsida","NT"
"Zingiber officinale","t0049394","Plantae","Magnoliopsida","DD"
"Zingiber zerumbet","t0049397","Plantae","Magnoliopsida","DD"
"Zostera japonica","t0049405","Plantae","Magnoliopsida","LC"
"Abies kawakamii","t0052518","Plantae","Pinopsida","NT"
"Acacia dealbata","t0052524","Plantae","Magnoliopsida","LC"
"Acacia farnesiana","t0052525","Plantae","Magnoliopsida","LC"
"Acalypha hontauyuensis","t0052528","Plantae","Magnoliopsida","VU"
"Acer morrisonense","t0052532","Plantae","Magnoliopsida","LC"
"Aegiceras corniculatum","t0052537","Plantae","Magnoliopsida","LC"
"Aeginetia indica","t0052538","Plantae","Magnoliopsida","LC"
"Aglaia chittagonga","t0052541","Plantae","Magnoliopsida","VU"
"Aglaia elliptifolia","t0052542","Plantae","Magnoliopsida","LC"
"Alnus henryi","t0052558","Plantae","Magnoliopsida","CR"
"Alnus nepalensis","t0052559","Plantae","Magnoliopsida","LC"
"Aloe arborescens","t0052560","Plantae","Magnoliopsida","LC"
"Aloe millotii","t0052564","Plantae","Magnoliopsida","LC"
"Alyxia sinensis","t0052576","Plantae","Magnoliopsida","LC"
"Alyxia taiwanensis","t0052577","Plantae","Magnoliopsida","LC"
"Amentotaxus formosana","t0052582","Plantae","Pinopsida","EN"
"Ammannia auriculata","t0052584","Plantae","Magnoliopsida","LC"
"Ammannia baccifera","t0052585","Plantae","Magnoliopsida","LC"
"Anoectochilus koshunensis","t0052598","Plantae","Magnoliopsida","DD"
"Anthemis nobilis","t0052599","Plantae","Magnoliopsida","LC"
"Anthurium magnificum","t0052600","Plantae","Magnoliopsida","NT"
"Apium graveolens","t0052605","Plantae","Magnoliopsida","LC"
"Araucaria bidwillii","t0052611","Plantae","Pinopsida","LC"
"Araucaria cunninghamii","t0052612","Plantae","Pinopsida","LC"
"Ardisia squamulosa","t0052616","Plantae","Magnoliopsida","VU"
"Isotrema cucurbitifolium","t0052623","Plantae","Magnoliopsida","VU"
"Artocarpus odoratissimus","t0052638","Plantae","Magnoliopsida","NT"
"Asparagus officinalis","t0052653","Plantae","Magnoliopsida","DD"
"Atalantia dasycarpa","t0052674","Plantae","Magnoliopsida","LC"
"Aucuba chinensis","t0052678","Plantae","Magnoliopsida","LC"
"Averrhoa bilimbi","t0052680","Plantae","Magnoliopsida","LC"
"Averrhoa carambola","t0052681","Plantae","Magnoliopsida","DD"
"Avicennia marina","t0052682","Plantae","Magnoliopsida","LC"
"Bacopa monnieri","t0052683","Plantae","Magnoliopsida","LC"
"Bactris gasipaes","t0052684","Plantae","Magnoliopsida","LC"
"Bergia ammannioides","t0052726","Plantae","Magnoliopsida","LC"
"Berrya ammonilla","t0052727","Plantae","Magnoliopsida","LC"
"Boehmeria pilosiuscula","t0052739","Plantae","Magnoliopsida","LC"
"Bonnaya antipoda","t0052743","Plantae","Magnoliopsida","LC"
"Borreria laevis","t0052744","Plantae","Magnoliopsida","LC"
"Bretschneidera sinensis","t0052751","Plantae","Magnoliopsida","EN"
"Buddleja asiatica","t0052755","Plantae","Magnoliopsida","LC"
"Caldesia grandis","t0052770","Plantae","Magnoliopsida","LC"
"Calliandra haematocephala","t0052771","Plantae","Magnoliopsida","LC"
"Callicarpa longissima","t0052774","Plantae","Magnoliopsida","LC"
"Calocedrus macrolepis","t0052783","Plantae","Pinopsida","NT"
"Calocedrus macrolepis formosana","t0052784","Plantae","Pinopsida","EN"
"Calophyllum blancoi","t0052786","Plantae","Magnoliopsida","LC"
"Calophyllum inophyllum","t0052787","Plantae","Magnoliopsida","LC"
"Camellia oleifera","t0052789","Plantae","Magnoliopsida","LC"
"Camellia sasanqua","t0052790","Plantae","Magnoliopsida","LC"
"Canthium gynochodes","t0052795","Plantae","Magnoliopsida","LC"
"Capsicum annuum","t0052799","Plantae","Magnoliopsida","LC"
"Cardiospermum halicacabum","t0052806","Plantae","Magnoliopsida","LC"
"Carex baccans","t0052812","Plantae","Magnoliopsida","LC"
"Carex doniana","t0052826","Plantae","Magnoliopsida","LC"
"Carex echinata","t0052827","Plantae","Magnoliopsida","LC"
"Carex filicina","t0052829","Plantae","Magnoliopsida","LC"
"Carex maculata","t0052839","Plantae","Magnoliopsida","LC"
"Carex phacota","t0052850","Plantae","Magnoliopsida","LC"
"Carex pumila","t0052851","Plantae","Magnoliopsida","LC"
"Carica papaya","t0052865","Plantae","Magnoliopsida","DD"
"Carludovica palmata","t0052866","Plantae","Magnoliopsida","LC"
"Carpinus hebestroma","t0052872","Plantae","Magnoliopsida","CR"
"Carpinus kawakamii","t0052873","Plantae","Magnoliopsida","LC"
"Carpinus rankanensis","t0052874","Plantae","Magnoliopsida","LC"
"Caryota mitis","t0052877","Plantae","Magnoliopsida","LC"
